Week,Season,Air Travel,Hotel and Acc,Rail Travel,Shopping,Covid 19,Travel Guides & Travelogues,Car Rental & Taxi Services,Tourist Destinations,Image Search,W1,W2,W3,Weekwise Tourists
05-01-2014,1,26,0,0,0,0,28,0,44,29,-0.90775,0.529753,0.258209,24739.35
12-01-2014,1,54,0,0,52,0,28,0,50,31,-0.90775,0.529753,0.258209,24739.35
19-01-2014,1,73,37,0,0,0,30,0,48,22,-0.41561,0.431946,0.639136,24739.35
26-01-2014,1,79,0,0,0,0,19,0,37,22,0.585061,0.590708,0.501644,25475.16
02-02-2014,1,0,0,0,0,0,25,0,51,26,-0.90775,0.529753,0.258209,29890
09-02-2014,1,16,44,0,58,0,27,0,41,31,0.585061,0.590708,0.501644,29890
16-02-2014,1,46,0,0,0,0,28,0,37,19,-0.46471,-0.39582,0.631128,29890
23-02-2014,1,78,39,0,0,0,32,0,46,33,-0.04382,0.139248,-0.11271,34023.06
02-03-2014,1,76,0,0,26,0,34,57,50,53,-0.41561,0.431946,0.639136,58821.45
09-03-2014,1,45,68,0,0,0,27,0,55,27,-0.41561,0.431946,0.639136,58821.45
16-03-2014,1,32,26,0,0,0,34,0,57,43,-0.04382,0.139248,-0.11271,58821.45
23-03-2014,1,68,59,0,35,0,37,0,59,38,-0.41561,0.431946,0.639136,58821.45
30-03-2014,2,62,0,0,48,0,29,0,60,37,0.044792,0.108978,0.426204,71705.3
06-04-2014,2,47,41,56,0,0,25,0,69,40,-0.90775,0.529753,0.258209,76858.83
13-04-2014,2,39,29,0,0,0,36,0,66,36,0.464705,0.395818,-0.63113,76858.83
20-04-2014,2,55,29,0,0,0,25,0,65,41,-0.41561,0.431946,0.639136,76858.83
27-04-2014,2,89,45,0,35,0,29,0,74,55,-0.50422,0.462215,0.100223,82155.4
04-05-2014,2,57,58,0,29,0,30,36,78,57,0.585061,0.590708,0.501644,89217.48
11-05-2014,2,61,53,0,32,0,34,0,73,49,-0.95684,-0.29801,0.250201,89217.48
18-05-2014,2,50,45,0,0,0,38,0,74,54,0.447348,-0.20679,-0.04528,89217.48
25-05-2014,2,73,26,62,0,0,39,0,67,62,0.415607,-0.43195,-0.63914,89217.48
01-06-2014,2,55,100,80,65,0,45,60,76,58,0.415607,-0.43195,-0.63914,98949.43
08-06-2014,2,100,57,100,65,0,100,0,100,100,0.415607,-0.43195,-0.63914,98949.43
15-06-2014,2,87,48,0,34,0,38,0,70,66,-0.58506,-0.59071,-0.50164,98949.43
22-06-2014,2,44,0,0,0,0,33,0,63,53,-0.41561,0.431946,0.639136,98949.43
29-06-2014,3,22,22,0,0,0,41,0,67,54,-0.41561,0.431946,0.639136,83603.85
06-07-2014,3,16,36,0,50,0,33,0,60,45,-0.41561,0.431946,0.639136,77465.61
13-07-2014,3,20,89,76,27,0,35,0,53,54,-0.41561,0.431946,0.639136,77465.61
20-07-2014,3,37,25,0,26,0,48,0,61,64,0.585061,0.590708,0.501644,77465.61
27-07-2014,3,17,33,0,93,0,29,43,57,45,-0.90775,0.529753,0.258209,85651.16
03-08-2014,3,25,0,0,40,0,12,63,55,58,-0.41561,0.431946,0.639136,106115
10-08-2014,3,39,0,74,25,0,29,0,37,35,0.585061,0.590708,0.501644,106115
17-08-2014,3,51,50,0,32,0,32,0,52,47,0.044792,0.108978,0.426204,106115
24-08-2014,3,36,39,0,0,0,23,0,43,45,0.585061,0.590708,0.501644,106115
31-08-2014,3,41,0,0,0,0,35,91,59,34,-0.41561,0.431946,0.639136,79359.49
07-09-2014,3,24,0,0,47,0,24,0,52,30,-0.41561,0.431946,0.639136,74900.23
14-09-2014,3,78,36,83,35,0,32,0,61,48,-0.41561,0.431946,0.639136,74900.23
21-09-2014,3,70,0,0,80,0,54,0,62,35,-0.99636,0.560022,-0.2807,74900.23
28-09-2014,4,36,0,0,99,0,57,0,75,50,-0.04479,-0.10898,-0.4262,69402.81
05-10-2014,4,17,0,81,100,0,49,0,56,48,0.044792,0.108978,0.426204,65279.74
12-10-2014,4,21,0,0,0,0,25,0,55,55,-0.41561,0.431946,0.639136,65279.74
19-10-2014,4,37,23,0,0,0,22,0,44,33,0.447348,-0.20679,-0.04528,65279.74
26-10-2014,4,23,0,0,0,0,29,0,55,39,0.535963,-0.23706,0.493636,61903.1
02-11-2014,4,52,0,0,29,0,29,0,73,44,-0.99636,0.560022,-0.2807,41643.23
09-11-2014,4,48,64,0,0,0,28,0,59,37,-0.41561,0.431946,0.639136,41643.23
16-11-2014,4,32,0,0,0,0,39,0,54,39,-0.41561,0.431946,0.639136,41643.23
23-11-2014,4,38,0,0,0,0,25,0,54,32,0.044792,0.108978,0.426204,41643.23
30-11-2014,4,38,0,0,39,0,27,0,56,54,-0.41561,0.431946,0.639136,16012
07-12-2014,4,51,37,0,0,0,35,0,71,44,-0.41561,0.431946,0.639136,11740.13
14-12-2014,4,83,0,0,45,0,45,0,70,56,-0.46471,-0.39582,0.631128,11740.13
21-12-2014,4,35,0,0,81,0,47,0,74,54,0.907746,-0.52975,-0.25821,11740.13
28-12-2014,1,73,53,0,41,0,35,100,54,48,-0.58506,-0.59071,-0.50164,17629.23
04-01-2015,1,36,46,0,80,0,42,0,58,51,0.044792,0.108978,0.426204,25481.35
11-01-2015,1,23,27,0,24,0,53,0,47,66,-0.50422,0.462215,0.100223,25481.35
18-01-2015,1,23,57,100,0,0,43,0,49,56,-0.50422,0.462215,0.100223,25481.35
25-01-2015,1,27,0,0,25,0,30,57,53,35,0.044792,0.108978,0.426204,25481.35
01-02-2015,1,61,0,0,41,0,56,0,60,50,-0.90775,0.529753,0.258209,31085.25
08-02-2015,1,44,27,0,0,0,33,0,49,30,-0.41561,0.431946,0.639136,31085.25
15-02-2015,1,28,37,44,41,0,63,0,66,36,-0.99636,0.560022,-0.2807,31085.25
22-02-2015,1,66,0,0,0,0,49,0,70,51,-0.41561,0.431946,0.639136,31085.25
01-03-2015,1,69,0,0,17,0,69,0,96,47,0.496446,0.620978,-0.03727,61174.13
08-03-2015,1,28,52,0,24,0,42,0,80,68,-0.41561,0.431946,0.639136,61174.13
15-03-2015,1,38,21,28,0,0,68,0,75,62,-0.41561,0.431946,0.639136,61174.13
22-03-2015,1,74,26,22,0,0,45,0,81,62,-0.41561,0.431946,0.639136,61174.13
29-03-2015,2,64,91,0,19,0,73,0,84,68,0.496446,0.620978,-0.03727,72332.68
05-04-2015,2,82,0,25,35,0,53,0,80,70,-0.41561,0.431946,0.639136,80701.6
12-04-2015,2,53,51,0,48,0,53,0,84,55,-0.95684,-0.29801,0.250201,80701.6
19-04-2015,2,46,38,0,0,0,60,0,71,60,-0.41561,0.431946,0.639136,80701.6
26-04-2015,2,60,69,0,28,0,48,31,73,65,0.585061,0.590708,0.501644,84664.06
03-05-2015,2,31,47,0,20,0,66,0,88,76,0.044792,0.108978,0.426204,94570.23
10-05-2015,2,68,59,32,0,0,56,0,100,78,-0.41561,0.431946,0.639136,94570.23
17-05-2015,2,68,78,0,35,0,78,64,99,87,0.496446,0.620978,-0.03727,94570.23
